epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
141,53543.9,0.61356,0.35822,0.01677,0.97918,0.97692,0.99356,0.79008,0.80503,0.3224,0.02129,0.001076,0.001076,0.001076
142,53930.4,0.64091,0.35755,0.01747,0.99225,0.98515,0.99405,0.78864,0.79197,0.32796,0.02107,0.0010694,0.0010694,0.0010694
143,54318.3,0.60675,0.35249,0.01648,0.98965,0.98091,0.99387,0.78597,0.80998,0.35293,0.02127,0.0010628,0.0010628,0.0010628
144,54704.3,0.60327,0.33715,0.01656,0.98711,0.98169,0.99361,0.78988,0.80288,0.34608,0.02125,0.0010562,0.0010562,0.0010562
145,55091.7,0.62603,0.35982,0.01712,0.97977,0.97179,0.9936,0.7709,0.82635,0.3458,0.02209,0.0010496,0.0010496,0.0010496
146,55478.5,0.62152,0.32879,0.0173,0.97751,0.97179,0.99298,0.78473,0.81953,0.34297,0.02173,0.001043,0.001043,0.001043
147,55864.8,0.60107,0.34576,0.01658,0.97919,0.96522,0.99256,0.78401,0.83423,0.33378,0.02217,0.0010364,0.0010364,0.0010364
148,56251.4,0.58875,0.34715,0.01628,0.98449,0.97644,0.99267,0.783,0.81832,0.34595,0.02165,0.0010298,0.0010298,0.0010298
149,56640.9,0.61438,0.35226,0.01689,0.98792,0.97179,0.99282,0.7868,0.83284,0.34078,0.0222,0.0010232,0.0010232,0.0010232
150,57028.3,0.60297,0.34644,0.01652,0.98519,0.97949,0.99347,0.784,0.82251,0.33314,0.02193,0.0010166,0.0010166,0.0010166
151,57417,0.5992,0.34958,0.0164,0.98123,0.97436,0.99166,0.80029,0.77562,0.32881,0.02046,0.00101,0.00101,0.00101
152,57805.9,0.58368,0.34205,0.01586,0.97571,0.98205,0.99325,0.78791,0.78272,0.35383,0.02043,0.0010034,0.0010034,0.0010034
153,58194.7,0.57399,0.3485,0.01559,0.98556,0.96667,0.99261,0.78569,0.78781,0.36017,0.02091,0.0009968,0.0009968,0.0009968
154,58583,0.58031,0.33763,0.01563,0.98912,0.97436,0.99418,0.79208,0.77315,0.32641,0.02034,0.0009902,0.0009902,0.0009902
155,58971.8,0.58156,0.33545,0.01581,0.99469,0.96066,0.99351,0.79204,0.81422,0.33291,0.02134,0.0009836,0.0009836,0.0009836
156,59359.6,0.56379,0.32403,0.01537,0.98639,0.98462,0.99372,0.7948,0.79735,0.33444,0.02094,0.000977,0.000977,0.000977
157,59747.8,0.58762,0.32668,0.01583,0.98798,0.97436,0.99282,0.79919,0.77798,0.3111,0.02055,0.0009704,0.0009704,0.0009704
158,60136,0.60885,0.32915,0.01661,0.9871,0.98205,0.99365,0.78873,0.80488,0.30628,0.02132,0.0009638,0.0009638,0.0009638
159,60523.9,0.57253,0.32554,0.0156,0.98051,0.97436,0.99162,0.78923,0.77448,0.33714,0.02037,0.0009572,0.0009572,0.0009572
160,60911.1,0.57831,0.33465,0.01564,0.97696,0.97843,0.99257,0.7739,0.83448,0.32109,0.02219,0.0009506,0.0009506,0.0009506
161,61298.4,0.58873,0.32285,0.01604,0.98446,0.9749,0.99233,0.7863,0.81839,0.33061,0.02149,0.000944,0.000944,0.000944
162,61685.3,0.569,0.32293,0.01536,0.98687,0.96369,0.99241,0.79004,0.79519,0.322,0.02096,0.0009374,0.0009374,0.0009374
163,62067.8,0.57884,0.32178,0.01571,0.98701,0.97395,0.99316,0.77258,0.79927,0.31833,0.02118,0.0009308,0.0009308,0.0009308
164,62441.9,0.57082,0.31437,0.01582,0.99222,0.96667,0.99354,0.78262,0.80671,0.32005,0.02145,0.0009242,0.0009242,0.0009242
165,62819,0.5584,0.32491,0.01524,0.97445,0.97806,0.99167,0.78289,0.79683,0.32736,0.02109,0.0009176,0.0009176,0.0009176
166,63195.7,0.5563,0.32895,0.01509,0.98438,0.96943,0.99258,0.77716,0.80534,0.32002,0.02112,0.000911,0.000911,0.000911
167,63572.6,0.55456,0.30883,0.01521,0.97947,0.98205,0.9926,0.78041,0.81366,0.33619,0.02145,0.0009044,0.0009044,0.0009044
168,63949.5,0.54752,0.31036,0.01506,0.99218,0.97653,0.99393,0.77077,0.8283,0.32805,0.02228,0.0008978,0.0008978,0.0008978
169,64326.3,0.55918,0.31382,0.01529,0.98708,0.9641,0.99246,0.78083,0.8187,0.34053,0.0216,0.0008912,0.0008912,0.0008912
170,64702.4,0.53609,0.30688,0.01458,0.98441,0.97156,0.99319,0.7849,0.77868,0.33552,0.02039,0.0008846,0.0008846,0.0008846
171,65078,0.54505,0.30905,0.01466,0.97945,0.97758,0.99242,0.77829,0.80312,0.33901,0.02129,0.000878,0.000878,0.000878
172,65453.5,0.55049,0.29899,0.01495,0.98955,0.97114,0.99232,0.77908,0.80723,0.3284,0.02131,0.0008714,0.0008714,0.0008714
173,65829.6,0.55053,0.32315,0.01501,0.9869,0.96611,0.99209,0.79085,0.77874,0.33422,0.02054,0.0008648,0.0008648,0.0008648
174,66205.7,0.54757,0.30986,0.01504,0.9811,0.95385,0.99241,0.78577,0.77174,0.31769,0.02031,0.0008582,0.0008582,0.0008582
